,timestamp,open,close,volume,trades,bsk,ewm8,ewm13,ewm21,ewm55,StotchRSI
739,2019-08-26,10142.69,10372.25,41687.5116,405316,0,10330.5756,10424.4097,10516.1209,10394.1108,0.5673
740,2019-08-27,10373.6,10185.05,28402.7754,292888,0,10298.2366,10390.2154,10486.0235,10386.6443,0.3497
741,2019-08-28,10185.69,9721.0,42110.5554,381293,0,10169.9618,10294.6132,10416.4759,10362.8713,0.0
742,2019-08-29,9721.0,9498.44,35532.6949,343887,1,10020.7347,10180.8742,10333.0181,10331.9988,0.0
743,2019-08-30,9499.01,9584.54,26834.3181,259270,0,9923.8026,10095.6836,10264.9746,10305.3038,0.0984
744,2019-08-31,9582.76,9587.47,17130.2901,199188,0,9849.062,10023.0817,10203.3833,10279.6669,0.1019
745,2019-09-01,9588.74,9724.98,19545.4048,191324,0,9821.4882,9980.4957,10159.8921,10259.8567,0.2727
746,2019-09-02,9723.59,10340.0,44740.2481,354155,0,9936.7131,10031.8535,10176.2655,10262.7189,1.0
747,2019-09-03,10340.0,10615.28,47998.3768,416076,2,10087.5057,10115.2001,10216.176,10275.3104,1.0
748,2019-09-04,10611.85,10567.02,43943.889,383457,0,10194.0644,10179.7458,10248.0709,10285.7286,0.9561
749,2019-09-05,10565.92,10564.49,33970.9606,309846,0,10276.3812,10234.7093,10276.8362,10295.6844,0.9536
750,2019-09-06,10563.13,10298.73,58799.641,455334,0,10281.3476,10243.8551,10278.8266,10295.7931,0.6991
751,2019-09-07,10298.71,10455.88,27637.8774,272011,0,10320.1326,10274.1444,10294.9223,10301.5105,0.8426
752,2019-09-08,10455.9,10381.18,23984.672,237752,0,10333.6987,10289.4352,10302.764,10304.3559,0.7682
753,2019-09-09,10381.24,10303.12,39835.7276,330459,0,10326.9034,10291.3901,10302.7963,10304.3117,0.6886
754,2019-09-10,10302.58,10098.15,28915.4122,286763,0,10276.0693,10263.7844,10284.1921,10296.9488,0.4847
755,2019-09-11,10098.19,10158.33,31953.8246,309120,0,10249.905,10248.7195,10272.7501,10291.9981,0.5533
756,2019-09-12,10158.75,10415.01,34511.1628,317881,0,10286.595,10272.4753,10285.6828,10296.3914,0.8188
757,2019-09-13,10415.01,10342.06,30280.3398,304947,0,10298.9206,10282.416,10290.808,10298.0224,0.7279
758,2019-09-14,10344.13,10335.02,23621.5335,253929,0,10306.9427,10289.9308,10294.8273,10299.3438,0.666
759,2019-09-15,10332.81,10302.01,18047.654,194733,0,10305.8465,10291.6564,10295.4803,10299.439,0.4212
760,2019-09-16,10303.34,10251.31,28971.4017,274368,0,10293.7273,10285.8926,10291.4648,10297.7201,0.2933
761,2019-09-17,10249.68,10187.82,22914.3246,287483,0,10270.1923,10271.8823,10282.0425,10293.7951,0.1416
